timestamp,event,info
2026-01-19T13:39:31.612880,face_not_detected,
2026-01-19T13:39:32.143484,face_not_detected,
2026-01-19T13:39:32.677688,face_not_detected,
2026-01-19T13:39:33.209549,face_not_detected,
2026-01-19T13:39:33.710049,face_not_detected,
2026-01-19T13:39:34.243933,face_not_detected,
2026-01-19T13:39:34.777177,face_not_detected,
2026-01-19T13:39:35.278395,face_not_detected,
2026-01-19T13:39:35.811525,face_not_detected,
2026-01-19T13:39:36.342254,face_not_detected,
2026-01-19T13:39:36.842822,face_not_detected,
2026-01-19T13:39:37.375479,face_not_detected,
2026-01-19T13:39:37.908899,face_not_detected,
2026-01-19T13:39:38.442105,face_not_detected,
2026-01-19T13:39:38.975470,face_not_detected,
2026-01-19T13:39:39.508244,face_not_detected,
2026-01-19T13:39:40.009979,face_not_detected,
2026-01-19T13:39:40.539880,face_not_detected,
2026-01-19T13:39:41.090215,face_not_detected,
2026-01-19T13:39:41.608116,face_not_detected,
2026-01-19T13:39:42.108168,face_not_detected,
2026-01-19T13:39:42.639363,face_not_detected,
2026-01-19T13:39:43.139700,face_not_detected,
2026-01-19T13:39:43.639601,face_not_detected,
2026-01-19T13:39:44.172789,face_not_detected,
2026-01-19T13:39:44.673418,face_not_detected,
2026-01-19T13:39:45.204467,face_not_detected,
2026-01-19T13:39:45.739220,face_not_detected,
2026-01-19T13:39:46.271786,face_not_detected,
2026-01-19T13:39:46.773382,face_not_detected,
2026-01-19T13:39:47.304965,face_not_detected,
2026-01-19T13:39:47.837865,face_not_detected,
2026-01-19T13:39:48.338003,face_not_detected,
2026-01-19T13:39:48.872272,face_not_detected,
2026-01-19T13:39:49.403931,face_not_detected,
2026-01-19T13:39:49.904134,face_not_detected,
2026-01-19T13:39:50.437407,face_not_detected,
2026-01-19T13:39:50.937522,face_not_detected,
2026-01-19T13:39:51.438049,face_not_detected,
2026-01-19T13:39:51.968724,face_not_detected,
2026-01-19T13:39:52.503207,face_not_detected,
2026-01-19T13:39:53.036218,face_not_detected,
2026-01-19T13:39:53.537016,face_not_detected,
2026-01-19T13:39:54.069129,face_not_detected,
2026-01-19T13:39:54.602728,face_not_detected,
2026-01-19T13:39:55.136524,face_not_detected,
2026-01-19T13:39:55.666865,face_not_detected,
2026-01-19T13:39:56.167214,face_not_detected,
2026-01-19T13:39:56.700023,face_not_detected,
2026-01-19T13:39:57.201229,face_not_detected,
2026-01-19T13:39:57.735389,face_not_detected,
2026-01-19T13:39:58.266388,face_not_detected,
2026-01-19T13:39:58.799556,face_not_detected,
2026-01-19T13:39:59.300507,face_not_detected,
2026-01-19T13:39:59.834732,face_not_detected,
2026-01-19T13:40:00.366157,face_not_detected,
2026-01-19T13:40:00.899721,face_not_detected,
2026-01-19T13:40:01.433530,face_not_detected,
2026-01-19T13:40:01.933752,face_not_detected,
2026-01-19T13:40:02.465466,face_not_detected,
2026-01-19T13:40:02.965371,face_not_detected,
2026-01-19T13:40:03.498154,face_not_detected,
2026-01-19T13:40:03.998784,face_not_detected,
